#! [GET /_xpack/sql] is deprecated! Use [GET /_sql] instead.
 EVENT_NUMBER  |     事件等级      |      地市       |      区县       |                                 网元名称                                  |     设备类型      |     设备厂家      |                                                                               定位信息                                                                               |          派单时间          |        维护组        |    网络一级分类     |    网络二级分类     |    网络三级分类     |     二级专业      |     一级专业      |     事件来源      |                                                                 事件名称                                                                 |                                                           告警标题                                                           |       事件标准ID        |         事件发生时间         |         事件创建时间         |         告警发现时间         |         事件清除时间         |     事件清除时间（转时间格式）      |         工单号         |       工单子单最后清除时间       |                          事件FP                          |                   告警FP                    |   省内网管告警级别    |        告警清除发现时间        |   是否满足派单规则    |DISPATCH_REASON|    省内派单级别     |     派单时延      |     是否子事件     |     是否根事件     |                                                主事件FP                                                 |              机房信息              |   通知单转处理单标识   |    自研告警预警号    |     是否夜间
---------------+---------------+---------------+---------------+-----------------------------------------------------------------------+---------------+---------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-------------------+---------------+---------------+---------------+---------------+---------------+---------------+--------------------------------------------------------------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+---------------------+------------------------+------------------------+------------------------+------------------------+------------------------+---------------------+------------------------+--------------------------------------------------------+-------------------------------------------+---------------+------------------------+---------------+---------------+---------------+---------------+---------------+---------------+------------------------------------------------------------------------------------------------------+--------------------------------+---------------+---------------+---------------
563718427      |四级             |漳州市            |云霄县            |漳州云霄和平一楼1机房-开关电源-1                                                     |30014          |高新兴            |基站_漳州市_汇聚机房_云霄县_传输维帝开关电源                                                                                                                                          |2026-01-19T10:54:12.000Z|漳州云霄县城网格海格基站维护组1   |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                                                       |交流输入故障告警                                                                                                                  |WLSJ-WL-DH-04-80-0043|2026-01-19T10:40:16.000Z|2026-01-19T10:42:04.000Z|2026-01-19T10:42:02.000Z|2026-01-19T12:11:19.000Z|2026-01-19T12:11:19.000Z|FJ-076-20260119-2089 |2026-01-19T12:11:19.000Z|1615256541_3087790526_3821676063_2129749945_2           |1615256541_3087790526_3821676063_2129749945|3              |2026-01-19T12:11:25.000Z|1              |同源合并成功         |2              |12             |0              |0              |1107367951_3303282967_2534432101_2976053696_2                                                         |漳州云霄和平一楼1机房                     |2              |null           |0
564362682      |四级             |莆田市            |涵江区            |[集客]PUT涵江分公司-OLT003-5800                                               |14005          |华为             |【告警对象】PUT涵江分公司-OLT003-5800,FRAME 0,SLOT 2,CARD -1,SUBSLOT 65535,SUBCARD -1,PORT 8, Paras:机框=0, 槽=2, 子槽=65535, 端口=8;<br>                                           |2026-01-19T17:37:51.000Z|莆田涵江集客铁通维护组        |集团专线           |传输专线           |PON            |集客             |集客             |直真专线监控系统       |36条集客专线故障事件（最高业务保障等级:AA,最高跨域级别:本地专线）-GPON端口光模块硬件故障                                                                                    |升级告警：GPON端口光模块硬件故障                                                                                                        |WLSJ-YW-B-03-80-0035 |2026-01-19T17:33:00.000Z|2026-01-19T17:34:33.000Z|2026-01-19T17:34:31.000Z|2026-01-19T17:48:05.000Z|2026-01-19T17:48:05.000Z|FJ-076-20260119-4277 |2026-01-19T17:48:05.000Z|3501967812_817284781_3398451117_644591955_2             |3501967812_817284781_3398451117_644591955  |1              |2026-01-19T17:48:39.000Z|1              |工单派发成功         |2              |3              |0              |0              |null                                                                                                  |                                |1              |2034228        |0
564562112      |四级             |南平市            |顺昌县            |[集客]194-36974-顺昌城南东汇聚2 690-690E10                                      |14005          |烽火             |【告警对象】194-36974-顺昌城南东汇聚2 690-690E10;板卡:6-XSADA16;端口:6-XSADA16-3;<br>                                                                                              |2026-01-19T19:51:31.000Z|南平顺昌集客铁通维护组        |集团专线           |其他             |其他             |集客             |集客             |直真专线监控系统       |28条集客专线故障事件（最高业务保障等级:AA,最高跨域级别:跨地专线）-CRC_ERR                                                                                          |升级告警：CRC_ERR(影响35条电路)                                                                                                     |WLSJ-YW-B-03-80-0035 |2026-01-19T19:45:35.000Z|2026-01-19T19:48:29.000Z|2026-01-19T19:48:27.000Z|2026-01-19T20:00:58.000Z|2026-01-19T20:00:58.000Z|FJ-076-20260119-4807 |2026-01-19T20:00:58.000Z|3919151848_2786737671_67245468_3329183558_2             |3919151848_2786737671_67245468_3329183558  |1              |2026-01-19T20:02:49.000Z|1              |工单派发成功         |2              |3              |0              |0              |null                                                                                                  |                                |1              |2034229        |0
530410713      |四级             |福州市            |罗源县            |霍口畲族乡                                                                  |100051         |其他             |null                                                                                                                                                              |2026-01-02T21:27:43.000Z|福州无线维护组            |无线网            |LTE无线网         |eNoDeB         |空间点            |无线接入网          |网络管理系统         |乡镇属地全量服务态小区比例低于70%事件-福州市罗源县霍口畲族乡属地全量服务态小区比例低于70%(服务态比例69.87%，退服小区数47个)                                                                |福州市罗源县霍口畲族乡属地全量服务态小区比例低于70%(服务态比例69.87%，退服小区数47个)                                                                         |WLSJ-WL-WX-04-80-0110|2026-01-02T21:15:00.000Z|2026-01-02T21:24:43.000Z|2026-01-02T21:25:01.000Z|2026-01-02T22:22:06.000Z|2026-01-02T22:22:06.000Z|FJ-076-20260102-3867 |2026-01-02T22:22:06.000Z|445067581_2985010371_783764155_2666680636_2             |445067581_2985010371_783764155_2666680636  |1              |2026-01-02T22:25:03.000Z|1              |工单派发成功         |1              |3              |0              |0              |null                                                                                                  |                                |1              |2033936        |0
528537561      |四级             |三明市            |三元区            |三明三元邮政枢纽七楼砖混机房-开关电源-1                                                  |30014          |高新兴            |基站_三明市_BBU池基站_三元区_动力源组合开关电源                                                                                                                                       |2026-01-01T22:00:50.000Z|三明三元主城网格和勤基站维护组1   |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                                                       |交流输入故障告警                                                                                                                  |WLSJ-WL-DH-04-80-0043|2026-01-01T21:47:19.000Z|2026-01-01T21:49:02.000Z|2026-01-01T21:49:00.000Z|2026-01-01T23:13:21.000Z|2026-01-01T23:13:21.000Z|FJ-076-20260101-3718 |2026-01-01T23:13:21.000Z|302631461_3912462871_59208946_3855758496_2              |302631461_3912462871_59208946_3855758496   |3              |2026-01-01T23:13:25.000Z|1              |子追主成功          |2              |12             |0              |0              |1965106991_2247598885_2661237660_749747423_2                                                          |三明三元邮政枢纽七楼砖混机房                  |3              |null           |0
561737014      |四级             |莆田市            |秀屿区            |[集客]140-799-莆田秀屿东浦安置房全业务汇聚-HW-SPN7900E                                 |14005          |华为             |【告警对象】140-799-莆田秀屿东浦安置房全业务汇聚-HW-SPN7900E;板卡:13-TPA1EX24S;端口:2;<br>                                                                                                |2026-01-18T10:49:22.000Z|莆田秀屿集客铁通维护组        |集团专线           |其他             |其他             |集客             |集客             |直真专线监控系统       |单条集客普通跨省专线故障事件-网口连接故障告警                                                                                                               |跨省升级告警：ETH_LINK_DOWN(影响1条电路)                                                                                              |WLSJ-YW-B-03-80-0032 |2026-01-18T10:44:56.000Z|2026-01-18T10:46:17.000Z|2026-01-18T10:46:13.000Z|2026-01-18T11:18:24.000Z|2026-01-18T11:18:24.000Z|FJ-076-20260118-1806 |2026-01-18T11:18:24.000Z|1625592710_1481389049_1598215321_1300007347_2           |1625592710_1481389049_1598215321_1300007347|1              |2026-01-18T11:18:54.000Z|1              |同源合并成功         |2              |3              |0              |0              |1971786122_2403982868_4101586917_1704267758_2                                                         |                                |2              |null           |0
528997447      |四级             |宁德市            |福鼎市            |NDEFD硖门3-OLT109-C300共1台                                                |2010           |中兴             |同一机房下PON口故障>2个(主纤断或掉电)（影响51个PON口）[衍生告警]影响资源用户数:1369(家宽:725,企宽:644);影响在线用户数:0;故障预定位:主纤断或掉电;影响HDICT设备数:1(门禁0,充电桩0,视频监控1,道闸0)                                        |2026-01-02T04:08:01.000Z|宁德福鼎长实公司传输线路维护组1   |有线宽带           |PON接入网         |PON口           |传输侧            |家宽             |网络管理系统         |家宽多PON口故障事件-同一机房下PON口故障>2个(主纤断或掉电)（影响51个PON口）[衍生告警]影响资源用户数:1369(家宽:725,企宽:644);影响在线用户数:0;故障预定位:主纤断或掉电;影响HDICT设备数:1(门禁0,充电桩0,视频监控1,道闸0)|同一机房下PON口故障>2个(主纤断或掉电)（影响51个PON口）[衍生告警]影响资源用户数:1369(家宽:725,企宽:644);影响在线用户数:0;故障预定位:主纤断或掉电;影响HDICT设备数:1(门禁0,充电桩0,视频监控1,道闸0)|WLSJ-YW-H-04-80-0001 |2026-01-02T04:06:51.000Z|2026-01-02T04:06:54.000Z|2026-01-02T04:06:52.000Z|2026-01-02T05:28:38.000Z|2026-01-02T05:28:38.000Z|FJ-076-20260102-0581 |2026-01-02T05:28:38.000Z|3756038992_3594154102_3181894076_1010043784_2           |3756038992_3594154102_3181894076_1010043784|3              |2026-01-02T05:28:53.000Z|1              |工单派发成功         |3              |1              |0              |0              |null                                                                                                  |宁德福鼎硖门一楼无线机房                    |1              |2033913        |0
529692881      |四级             |南平市            |武夷山市           |南平武夷山兴田2一楼101机房-开关电源-1                                                 |30014          |高新兴            |基站_南平市_全业务基站_武夷山市_2#艾默生M522S电源                                                                                                                                    |2026-01-02T13:25:50.000Z|南平武夷山县城网格综合基站维护组1  |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                                                       |交流输入故障告警                                                                                                                  |WLSJ-WL-DH-04-80-0043|2026-01-02T13:12:26.000Z|2026-01-02T13:14:04.000Z|2026-01-02T13:14:01.000Z|2026-01-02T14:21:28.000Z|2026-01-02T14:21:28.000Z|FJ-076-20260102-2375 |2026-01-02T14:21:28.000Z|1868523329_2156538617_3717200484_845005418_2            |1868523329_2156538617_3717200484_845005418 |3              |2026-01-02T14:21:32.000Z|1              |子追主成功          |2              |12             |0              |0              |3861175413_3577959118_2978474235_328492131_2                                                          |南平武夷山兴田2一楼101机房                 |3              |null           |0
536249419      |四级             |福州市            |马尾区            |福州马尾亭江侨城华府11号楼一楼设备间机房-开关电源-2                                           |30014          |高新兴            |基站_福州市_BBU池基站_马尾区_中恒ZHM15开关电源                                                                                                                                     |2026-01-06T02:50:27.000Z|福州马尾农村网格虹信基站维护组1   |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                                                       |交流输入故障告警                                                                                                                  |WLSJ-WL-DH-04-80-0043|2026-01-06T02:38:35.000Z|2026-01-06T02:38:44.000Z|2026-01-06T02:38:42.000Z|2026-01-06T04:01:07.000Z|2026-01-06T04:01:07.000Z|FJ-076-20260106-0534 |2026-01-06T04:01:07.000Z|2227450106_1045986241_4237031583_1917723292_2           |2227450106_1045986241_4237031583_1917723292|3              |2026-01-06T04:01:19.000Z|1              |子追主成功          |2              |12             |0              |0              |3686451831_651905308_1460816069_2208431104_2                                                          |福州马尾亭江侨城华府11号楼一楼设备间机房           |3              |null           |0
534999960      |四级             |南平市            |松溪县            |南平松溪来隆路六楼楼顶机房-低压交流配电-1                                                 |30022          |高新兴            |基站_南平市_全业务基站_松溪县_南平松溪来隆路六楼楼顶机房_市电                                                                                                                                 |2026-01-05T11:22:08.000Z|南平松溪县城网格综合基站维护组1   |电源和配套设备        |机房动环           |低压交流配电         |动环             |动环             |高兴新动力环境告警(旧)   |停电子事件-C相电压过低告警                                                                                                                        |C相电压过低告警                                                                                                                  |WLSJ-WL-DH-04-80-0044|2026-01-05T11:10:12.000Z|2026-01-05T11:10:24.000Z|2026-01-05T11:10:18.000Z|2026-01-05T12:53:23.000Z|2026-01-05T12:53:23.000Z|FJ-076-20260105-2408 |2026-01-05T12:53:23.000Z|908826848_1684168709_3395509526_3196591981_2            |908826848_1684168709_3395509526_3196591981 |3              |2026-01-05T12:53:30.000Z|1              |子追主成功          |2              |12             |0              |0              |1333999765_1331670940_3502099726_1784895910_2                                                         |南平松溪来隆路六楼楼顶机房                   |3              |null           |0
535000785      |四级             |南平市            |松溪县            |南平松溪来隆路六楼楼顶机房-低压交流配电-1                                                 |30022          |高新兴            |基站_南平市_全业务基站_松溪县_南平松溪来隆路六楼楼顶机房_市电                                                                                                                                 |2026-01-05T11:22:08.000Z|南平松溪县城网格综合基站维护组1   |电源和配套设备        |机房动环           |低压交流配电         |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-输入断电告警                                                                                                                         |输入断电告警                                                                                                                    |WLSJ-WL-DH-04-80-0043|2026-01-05T11:10:42.000Z|2026-01-05T11:10:20.000Z|2026-01-05T11:10:47.000Z|2026-01-05T12:53:23.000Z|2026-01-05T12:53:23.000Z|FJ-076-20260105-2408 |2026-01-05T12:53:23.000Z|2562722058_2212268080_3663340955_4281604399_2           |2562722058_2212268080_3663340955_4281604399|2              |2026-01-05T12:53:30.000Z|1              |子追主成功          |2              |12             |0              |0              |1333999765_1331670940_3502099726_1784895910_2                                                         |南平松溪来隆路六楼楼顶机房                   |3              |null           |0
535483810      |四级             |宁德市            |霞浦县            |宁德霞浦-时代一汽一期厂房双路室分B-HLSH-4                                              |8105           |华为             |2126400                                                                                                                                                           |2026-01-05T17:18:25.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |LTE无线网         |EUtrancell     |4G             |无线接入网          |网络管理系统         |小区退服事件-小区不可用告警                                                                                                                        |小区不可用告警                                                                                                                   |WLSJ-WL-WX-04-80-0073|2026-01-05T17:06:41.000Z|2026-01-05T17:06:14.000Z|2026-01-05T17:06:42.000Z|2026-01-05T17:29:06.000Z|2026-01-05T17:29:06.000Z|FJ-076-20260105-4176 |2026-01-05T17:29:06.000Z|789357907_381023460_2351455737_3680327782_2             |789357907_381023460_2351455737_3680327782  |3              |2026-01-05T17:29:08.000Z|1              |子追主成功          |2              |12             |0              |0              |789357907_381023460_2351455737_3680327782_2_0480701401                                                |宁德霞浦时代一汽一期厂房B一楼旁资源点             |3              |null           |0
535483732      |四级             |宁德市            |霞浦县            |(5G专网-尊享)宁德霞浦-时代一汽一期厂房室分B-HRWS                                         |3201           |华为             |2126400                                                                                                                                                           |2026-01-05T17:18:44.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |5G             |gNodeB         |5G             |无线接入网          |网络管理系统         |无线网二级告警事件-NR分布单元小区TRP不可用告警                                                                                                            |NR分布单元小区TRP不可用告警                                                                                                          |WLSJ-WL-WX-04-80-1002|2026-01-05T17:06:35.000Z|2026-01-05T17:06:38.000Z|2026-01-05T17:06:36.000Z|2026-01-05T17:31:36.000Z|2026-01-05T17:31:36.000Z|FJ-076-20260105-4177 |2026-01-05T17:31:36.000Z|433645188_3945745150_2024740361_2711459689_2            |433645188_3945745150_2024740361_2711459689 |3              |2026-01-05T17:31:39.000Z|1              |同源合并成功         |2              |12             |0              |0              |null                                                                                                  |宁德霞浦大沙一楼全业务机房                   |2              |null           |0
535483773      |四级             |宁德市            |霞浦县            |(5G专网-尊享)宁德霞浦-时代一汽二期厂房室分B-HRWS                                         |3201           |华为             |2126773                                                                                                                                                           |2026-01-05T17:19:05.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |5G             |gNodeB         |5G             |无线接入网          |网络管理系统         |无线网二级告警事件-NR分布单元小区TRP不可用告警                                                                                                            |NR分布单元小区TRP不可用告警                                                                                                          |WLSJ-WL-WX-04-80-1002|2026-01-05T17:06:41.000Z|2026-01-05T17:06:49.000Z|2026-01-05T17:06:42.000Z|2026-01-05T17:44:10.000Z|2026-01-05T17:44:10.000Z|FJ-076-20260105-4177 |2026-01-05T17:44:10.000Z|1363301338_3902570601_1570510659_2089518353_2           |1363301338_3902570601_1570510659_2089518353|3              |2026-01-05T17:44:14.000Z|1              |同源合并成功         |2              |12             |0              |0              |null                                                                                                  |宁德霞浦大沙一楼全业务机房                   |2              |null           |0
535483677      |四级             |宁德市            |霞浦县            |(5G专网-尊享)宁德霞浦-时代一汽一期厂房双路室分B-HRWS-258                                   |3300           |华为             |2126400                                                                                                                                                           |2026-01-05T17:18:46.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |5G             |Gcell          |5G             |无线接入网          |网络管理系统         |小区退服事件-NR小区不可用告警                                                                                                                      |NR小区不可用告警                                                                                                                 |WLSJ-WL-WX-04-80-0073|2026-01-05T17:06:36.000Z|2026-01-05T17:06:39.000Z|2026-01-05T17:06:37.000Z|2026-01-05T17:26:58.000Z|2026-01-05T17:26:58.000Z|FJ-076-20260105-4176 |2026-01-05T17:26:58.000Z|775201435_3600134779_3556421747_2590582945_2            |775201435_3600134779_3556421747_2590582945 |2              |2026-01-05T17:27:01.000Z|1              |子追主成功          |2              |12             |0              |0              |775201435_3600134779_3556421747_2590582945_2_0480701401,2791917691_3375545093_3697373025_1508104055_2 |宁德霞浦时代一汽一期厂房B一楼旁资源点             |3              |166874         |0
535524398      |四级             |宁德市            |霞浦县            |宁德霞浦-时代一汽二期厂房室分B-HLS                                                   |8104           |华为             |2126773                                                                                                                                                           |2026-01-05T17:47:24.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |LTE无线网         |eNoDeB         |4G             |无线接入网          |网络管理系统         |RRU退服事件（非高铁）-射频单元业务不可用告警                                                                                                              |射频单元业务不可用告警                                                                                                               |WLSJ-WL-WX-04-80-0050|2026-01-05T17:35:13.000Z|2026-01-05T17:35:16.000Z|2026-01-05T17:35:14.000Z|2026-01-05T17:55:04.000Z|2026-01-05T17:55:04.000Z|FJ-076-20260105-4185 |2026-01-05T17:55:04.000Z|2174077312_4085935091_2340210666_2126047521_2           |2174077312_4085935091_2340210666_2126047521|3              |2026-01-05T17:55:08.000Z|1              |同源合并成功         |2              |12             |0              |0              |null                                                                                                  |宁德霞浦大沙一楼全业务机房                   |2              |null           |0
535483779      |四级             |宁德市            |霞浦县            |(5G专网-尊享)宁德霞浦-时代一汽二期厂房室分B-HRWS                                         |3201           |华为             |2126773                                                                                                                                                           |2026-01-05T17:19:06.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |5G             |gNodeB         |5G             |无线接入网          |网络管理系统         |无线网二级告警事件-NR分布单元小区TRP不可用告警                                                                                                            |NR分布单元小区TRP不可用告警                                                                                                          |WLSJ-WL-WX-04-80-1002|2026-01-05T17:06:41.000Z|2026-01-05T17:06:44.000Z|2026-01-05T17:06:42.000Z|2026-01-05T17:54:58.000Z|2026-01-05T17:54:58.000Z|FJ-076-20260105-4177 |2026-01-05T17:54:58.000Z|243947371_2865434118_3671595317_1859095065_2            |243947371_2865434118_3671595317_1859095065 |3              |2026-01-05T17:55:02.000Z|1              |同源合并成功         |2              |12             |0              |0              |null                                                                                                  |宁德霞浦大沙一楼全业务机房                   |2              |null           |0
535483826      |四级             |宁德市            |霞浦县            |(5G专网-尊享)宁德霞浦-时代一汽二期厂房室分B-HRWS                                         |3201           |华为             |2126773                                                                                                                                                           |2026-01-05T17:19:07.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |5G             |gNodeB         |5G             |无线接入网          |网络管理系统         |无线网二级告警事件-NR分布单元小区TRP不可用告警                                                                                                            |NR分布单元小区TRP不可用告警                                                                                                          |WLSJ-WL-WX-04-80-1002|2026-01-05T17:06:41.000Z|2026-01-05T17:06:50.000Z|2026-01-05T17:06:42.000Z|2026-01-05T17:43:51.000Z|2026-01-05T17:43:51.000Z|FJ-076-20260105-4177 |2026-01-05T17:43:51.000Z|1639691438_2598882970_2906634682_3524935170_2           |1639691438_2598882970_2906634682_3524935170|3              |2026-01-05T17:43:56.000Z|1              |同源合并成功         |2              |12             |0              |0              |null                                                                                                  |宁德霞浦大沙一楼全业务机房                   |2              |null           |0
535483761      |四级             |宁德市            |霞浦县            |(5G专网-尊享)宁德霞浦-时代一汽二期厂房室分B-HRWS                                         |3201           |华为             |2126773                                                                                                                                                           |2026-01-05T17:18:24.000Z|宁德霞浦农村网格长实基站维护组1   |无线网            |5G             |gNodeB         |5G             |无线接入网          |网络管理系统         |无线网二级告警事件-NR分布单元小区TRP不可用告警                                                                                                            |NR分布单元小区TRP不可用告警                                                                                                          |WLSJ-WL-WX-04-80-1002|2026-01-05T17:06:40.000Z|2026-01-05T17:06:14.000Z|2026-01-05T17:06:41.000Z|2026-01-05T17:50:09.000Z|2026-01-05T17:50:09.000Z|FJ-076-20260105-4177 |2026-01-05T17:50:09.000Z|2133335690_4284038360_1442716904_3419685844_2           |2133335690_4284038360_1442716904_3419685844|3              |2026-01-05T17:50:14.000Z|1              |同源合并成功         |2              |12             |0              |0              |null                                                                                                  |宁德霞浦大沙一楼全业务机房                   |2              |null           |0
535967235      |四级             |福州市            |仓山区            |16-9804-一厂调度环OXC-1-HW-OTM                                              |2034           |华为             |16-9804-一厂调度环OXC-1-HW-OTM;板卡:1-2-1-TN13OLP (TN13OLP03);端口:1;对端:16-9804-一厂调度环OXC-1-HW-OTM;板卡:1-2-9-TN52DAPXF (TN52DAPXF);端口:2                                      |2026-01-05T23:09:07.000Z|福州传输维护组            |传输网            |本地骨干设备         |OTN            |OTN            |传输网            |3500HWCSB      |传输中断故障子事件-MUT_LOS                                                                                                                     |MUT_LOS                                                                                                                   |WLSJ-WL-CS-04-80-0010|2026-01-05T22:56:45.000Z|2026-01-05T22:57:01.000Z|2026-01-05T22:56:59.000Z|2026-01-05T23:44:41.000Z|2026-01-05T23:44:41.000Z|FJ-076-20260105-5461 |2026-01-05T23:44:41.000Z|234292001_1526315954_3572274242_2177381924_2            |234292001_1526315954_3572274242_2177381924 |1              |2026-01-05T23:45:04.000Z|1              |子追主成功          |2              |12             |0              |0              |441925375_1036729866_100269291_4085599251_2                                                           |福州仓山邮电器材一厂主楼七楼702机房             |3              |166875         |0
565682581      |四级             |莆田市            |城厢区            |莆田城厢南门肖厝一楼砖混机房-开关电源-1                                                  |30014          |高新兴            |基站_莆田市_BBU池基站_城厢区_开关电源1中恒ZHM15                                                                                                                                    |2026-01-20T09:06:29.000Z|莆田城厢主城网格海格基站维护组2   |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                                                       |交流输入故障告警                                                                                                                  |WLSJ-WL-DH-04-80-0043|2026-01-20T08:54:12.000Z|2026-01-20T08:54:22.000Z|2026-01-20T08:54:19.000Z|2026-01-20T09:55:01.000Z|2026-01-20T09:55:01.000Z|FJ-076-20260120-1404 |2026-01-20T09:55:01.000Z|3109349277_475322485_2227155612_741761508_2             |3109349277_475322485_2227155612_741761508  |3              |2026-01-20T09:55:13.000Z|1              |工单派发成功         |2              |12             |0              |0              |null                                                                                                  |莆田城厢南门肖厝一楼砖混机房                  |1              |2034235        |0
565762875      |四级             |南平市            |浦城县            |南平浦城濠村一楼独栋机房-开关电源-1                                                    |30014          |高新兴            |基站_南平市_全业务基站_浦城县_1#艾默生开关电源                                                                                                                                        |2026-01-20T10:01:09.000Z|南平浦城县城网格综合基站维护组1   |电源和配套设备        |机房动环           |开关电源           |动环             |动环             |高兴新动力环境告警(旧)   |动环停电事件-交流输入故障告警                                                                                                                       |交流输入故障告警                                                                                                                  |WLSJ-WL-DH-04-80-0043|2026-01-20T09:47:46.000Z|2026-01-20T09:49:07.000Z|2026-01-20T09:49:03.000Z|2026-01-20T10:35:50.000Z|2026-01-20T10:35:50.000Z|FJ-076-20260120-1714 |2026-01-20T10:35:50.000Z|123506199_3177767863_2512296920_1547866546_2            |123506199_3177767863_2512296920_1547866546 |3              |2026-01-20T10:35:55.000Z|1              |同源合并成功         |2              |12             |0              |0              |null                                                                                                  |南平浦城濠村一楼独栋机房                    |2              |null           |0
565667615      |四级             |龙岩市            |上杭县            |龙岩上杭旧县紫金山观景台一楼山头机房-智能电表-770                                            |30245          |高新兴            |基站_龙岩市_全业务基站/汇聚节点_上杭县_雅达电表(1路总,2路开关电源,3路空调,4路备用)                                                                                                                  |2026-01-20T08:57:44.000Z|龙岩上杭农村网格虹信基站维护组1   |电源和配套设备        |机房动环           |智能电表           |动环             |动环             |高兴新动力环境告警(旧)   |停电子事件-相电压Ux过低告警                                                                                                                       |相电压Ux过低告警                                                                                                                 |WLSJ-WL-DH-04-80-0044|2026-01-20T08:43:33.000Z|2026-01-20T08:42:43.000Z|2026-01-20T08:42:41.000Z|2026-01-20T10:46:57.000Z|2026-01-20T10:46:57.000Z|FJ-076-20260120-1353 |2026-01-20T10:46:57.000Z|1029178087_3904461359_2106140603_1028556141_2           |1029178087_3904461359_2106140603_1028556141|3              |2026-01-20T10:46:09.000Z|1              |子追主成功          |2              |12             |0              |0              |293556582_3518136942_3694435573_3870328124_2                                                          |龙岩上杭旧县紫金山观景台一楼山头机房              |3              |null           |0
565680348      |四级             |厦门市            |集美区            |厦门集美黄庄三里238号负一楼276车位旁机房-锂电池-2                                          |30008          |高新兴            |基站_厦门市_BBU池基站_集美区_厦门集美黄庄三里238号负一楼276车位旁机房_铁锂电池1_5(昆宇智能锂电池)                                                                                                        |2026-01-20T08:57:45.000Z|厦门集美县城网格和勤基站维护组1   |电源和配套设备        |机房动环           |锂电池            |动环             |动环             |高兴新动力环境告警(旧)   |动环直流欠压事件-电池组总电压过低告警                                                                                                                   |电池组总电压过低告警                                                                                                                |WLSJ-WL-DH-04-80-0040|2026-01-20T08:52:07.000Z|2026-01-20T08:52:46.000Z|2026-01-20T08:52:41.000Z|2026-01-20T10:47:23.000Z|2026-01-20T10:47:23.000Z|FJ-076-20260120-1364 |2026-01-20T10:47:23.000Z|787677828_2089472061_3292529213_1321643672_2            |787677828_2089472061_3292529213_1321643672 |2              |2026-01-20T10:47:31.000Z|1              |工单派发成功         |1              |3              |0              |0              |3989667425_1421837563_3098536230_3183802356_2                                                         |厦门集美黄庄三里238号负一楼276车位旁机房         |1              |2034232        |0
566014819      |四级             |福州市            |福清市            |CBN-福州福清-阳下骏和御景C-ZRHH-517                                              |3300           |中兴             |SubNetwork=59108,ManagedElement=2142471,GNBDUFunction=460-00_2142471,NRCellDU=517                                                                                 |2026-01-20T12:51:44.000Z|福州福清县城网格长实基站维护组2   |无线网            |5G             |Gcell          |5G             |无线接入网          |网络管理系统         |小区退服事件-[衍生告警]中兴5G小区退服                                                                                                                 |[衍生告警]中兴5G小区退服                                                                                                            |WLSJ-WL-WX-04-80-0073|2026-01-20T12:39:43.000Z|2026-01-20T12:39:43.000Z|2026-01-20T12:39:43.000Z|2026-01-20T12:57:31.000Z|2026-01-20T12:57:31.000Z|FJ-076-20260120-2695 |2026-01-20T12:57:31.000Z|1255397152_3456354237_1811539849_1394113229_2           |1255397152_3456354237_1811539849_1394113229|2              |2026-01-20T12:57:31.000Z|1              |子追主成功          |2              |12             |0              |0              |4001351497_3550002920_3363282782_2653137985_2_0480701401,297470348_2288113041_1237325427_1224633286_2 |福州福清福阳路盈丰花园1号楼七楼屋面机房            |3              |null           |0
